NI;N;user_id;install_time;platform;country_region;city;gender;min_age_range;max_age_range;event_1;event_2;event_3;event_4;event_5;target_churn_indicator
2876;1;1fe4f77e;06/07/2018 16:10;Android;Cordoba;Córdoba;male;13;17;0;0;0;2;0;1
2877;1;ad674cb;01/07/2018 15:52;Android;Chaco;Resistencia;female;18;20;9;8;1;4;4;1
2878;1;283d5417;06/07/2018 2:15;Android;Cordoba;Córdoba;male;18;20;6;5;0;2;7;0
2879;1;8fa88362;05/07/2018 16:33;Android;Mendoza;Mendoza;male;18;20;9;16;5;2;3;0
2880;1;7178f978;02/07/2018 18:35;Android;Catamarca;San Fernando del Valle de Catamarca;male;18;20;1;2;0;3;1;1
2881;1;d548da5e;30/06/2018 1:52;Android;Buenos Aires;Bella Vista;male;13;17;3;1;0;1;4;1
2882;1;3726ade2;03/07/2018 20:08;Android;Entre Rios;Villa Angelica;female;18;20;9;7;0;2;2;0
2883;1;d6a2dd80;02/07/2018 0:37;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;1;4;0;4;1;0
2884;1;c44c3b94;04/07/2018 21:55;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;2;3;0;2;4;0
2885;1;32cf8c09;06/07/2018 2:09;Android;Buenos Aires;Lanus;female;18;20;82;87;0;9;14;0
2886;1;4e5ab8c;01/07/2018 23:42;Android;Mendoza;Mendoza;female;18;20;0;0;0;1;1;1
2887;1;97feb3da;07/07/2018 3:42;Android;Buenos Aires;Los Polvorines;female;18;20;4;13;0;2;3;1
2888;1;fa1e53f5;01/07/2018 15:26;Android;Cordoba;Rio Tercero;female;13;17;8;21;0;4;3;0
2889;1;fdbbd5d4;30/06/2018 13:54;Android;Buenos Aires;Mercedes;female;18;20;23;24;0;5;13;1
2890;1;47ad70;30/06/2018 0:21;Android;Chaco;Resistencia;male;18;20;2;1;0;1;2;1
2891;1;b9e72e47;02/07/2018 3:14;Android;NA;NA;female;18;20;2;13;0;3;3;1
2892;1;99273bb3;05/07/2018 1:02;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;1;5;0;1;1;0
2893;1;d06ad0f9;04/07/2018 7:11;Android;Neuquen;Neuquén;male;18;20;6;22;0;5;1;1
2894;1;90bdb4ce;04/07/2018 22:48;Android;Tucuman;San Miguel de Tucumán;female;13;17;5;6;0;6;6;1
2895;1;b0ad02ec;01/07/2018 17:06;Android;Buenos Aires;Turdera;female;18;20;4;12;0;1;3;1
2896;1;7d188868;06/07/2018 3:51;Android;Cordoba;Córdoba;female;18;20;5;6;1;4;1;0
2897;1;40598c3d;06/07/2018 16:56;Android;Buenos Aires;Olavarría;male;18;20;26;25;0;6;5;0
2898;1;38be8d7b;02/07/2018 0:39;Android;Buenos Aires;Pilar;male;18;20;2;2;0;2;1;1
2899;1;1248b893;05/07/2018 19:57;Android;Tucuman;San Miguel de Tucumán;female;18;20;26;25;1;5;8;0
2900;1;b7cb9997;01/07/2018 19:37;Android;Buenos Aires;San Carlos de Bolivar;female;13;17;5;4;0;1;5;1
2901;1;cc102747;07/07/2018 1:18;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;26;23;0;10;8;0
2902;1;e06d6720;04/07/2018 21:05;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;5;4;0;3;5;1
2903;1;ca5eee48;06/07/2018 11:51;Android;Buenos Aires;Lomas del Mirador;female;13;17;10;9;0;9;3;0
2904;1;42efd789;07/07/2018 18:28;Android;NA;NA;female;13;17;12;9;0;6;4;0
2905;1;5031965c;04/07/2018 18:39;Android;Buenos Aires;NA;female;18;20;0;0;0;1;0;0
2906;1;cc4b5d95;30/06/2018 22:33;Android;Salta;Tartagal;female;13;17;2;2;0;2;2;1
2907;1;8a2ae367;01/07/2018 4:55;Android;Buenos Aires;San Andres de Giles;male;18;20;0;3;0;1;0;1
2908;1;271d1143;07/07/2018 2:59;Android;NA;NA;female;18;20;3;2;0;2;3;1
2909;1;73b2a95e;06/07/2018 2:17;Android;Santa Fe;Villa Constitucion;female;13;17;4;4;0;1;0;1
2910;1;b0cfa6a1;30/06/2018 0:39;Android;Mendoza;Mendoza;female;18;20;12;12;1;5;4;1
2911;1;778a7534;03/07/2018 16:38;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;1;1;0;2;1;0
2912;1;23c6f10a;01/07/2018 20:26;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;21;18;0;5;4;0
2913;1;9bc6dc00;02/07/2018 22:55;Android;Buenos Aires;Mariano Moreno;female;13;17;1;4;0;2;1;0
2914;1;365619c9;01/07/2018 16:23;Android;Santiago del Estero;Santiago del Estero;female;13;17;12;30;0;1;12;1
2915;1;714227fa;30/06/2018 18:24;Android;NA;NA;unknown;21;20;7;7;1;4;7;1
2916;1;9d053aff;01/07/2018 19:48;Android;Buenos Aires;Garin;male;18;20;19;28;0;4;6;1
2917;1;9cf183da;07/07/2018 3:17;Android;Corrientes;Mercedes;male;13;17;15;18;0;5;4;0
2918;1;efc47ac1;30/06/2018 0:46;Android;Entre Rios;Paraná;female;18;20;30;43;1;6;12;1
2919;1;3796fb5d;01/07/2018 22:22;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;6;10;0;8;5;0
2920;1;d99d1dbb;04/07/2018 23:07;Android;Buenos Aires;Mercedes;female;13;17;2;3;0;4;2;1
2921;1;7a5119c9;05/07/2018 2:25;Android;Mendoza;San Martin;male;18;20;138;144;6;14;17;0
2922;1;21fbbf1f;02/07/2018 1:01;Android;Santa Fe;Santa Fe;male;18;20;6;7;1;1;1;0
2923;1;fde24c39;05/07/2018 1:45;Android;Entre Rios;Villa Angelica;male;18;20;4;6;0;3;3;0
2924;1;feb21012;06/07/2018 19:35;Android;Buenos Aires;Mar del Plata;male;18;20;5;7;0;2;1;0
2925;1;44acbceb;02/07/2018 1:30;Android;Buenos Aires;La Plata;female;18;20;1;1;0;1;1;1
2926;1;7aa696fa;04/07/2018 20:26;Android;San Luis;San Luis;male;18;20;0;9;0;3;0;0
2927;1;52bf6b05;07/07/2018 18:51;Android;Buenos Aires;San Fernando;female;18;20;7;22;0;5;6;0
2928;1;c6d597cf;04/07/2018 15:32;Android;Chaco;Resistencia;female;13;17;2;3;0;1;2;1
2929;1;686a5c43;03/07/2018 18:44;Android;Buenos Aires;Burzaco;female;18;20;13;10;0;9;6;1
2930;1;97dd8013;06/07/2018 19:42;Android;Tierra del Fuego;Ushuaia;female;18;20;11;12;1;4;4;1
2931;1;fcd0a651;05/07/2018 14:42;Android;Neuquen;Covunco;female;13;17;0;0;0;1;0;1
2932;1;535c74d5;05/07/2018 4:35;Android;Buenos Aires;Villa Ballester;female;18;20;26;49;0;5;7;0
2933;1;8cc6da8b;05/07/2018 0:32;Android;Buenos Aires;Ituzaingo;male;13;17;8;6;0;4;3;0
2934;1;16ca4c6c;02/07/2018 6:48;Android;Jujuy;San Salvador de Jujuy;female;13;17;12;12;0;1;9;0
2935;1;67868a76;07/07/2018 23:20;Android;Buenos Aires;Lomas de Zamora;female;18;20;1;1;0;1;2;1
2936;1;4e9a3b87;07/07/2018 3:10;Android;Buenos Aires;Jose Leon Suarez;male;13;17;2;4;0;2;3;1
2937;1;557b7a2;05/07/2018 0:15;Android;Misiones;Posadas;female;13;17;30;51;2;10;5;0
2938;1;c9127fc1;03/07/2018 1:56;Android;Buenos Aires;Tandil;female;13;17;22;21;0;10;5;0
2939;1;13383c66;30/06/2018 5:22;Android;Cordoba;Córdoba;male;18;20;10;9;0;3;7;1
2940;1;2525a39e;30/06/2018 0:34;Android;Cordoba;Córdoba;male;13;17;30;25;1;14;12;1
2941;1;9a2eb37;07/07/2018 22:32;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;5;4;0;2;3;1
2942;1;a3d7299c;30/06/2018 8:47;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;2;36;0;2;1;1
2943;1;563815f7;03/07/2018 22:15;Android;Mendoza;Mendoza;male;13;17;10;10;0;6;12;0
2944;1;3451cc6;01/07/2018 0:34;Android;Buenos Aires;Quilmes;male;18;20;23;23;0;3;3;0
2945;1;4c640d58;06/07/2018 15:41;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;3;3;0;1;3;1
2946;1;4201e2dc;02/07/2018 22:09;Android;Cordoba;Arias;male;18;20;3;2;0;1;3;1
2947;1;5f58bae;07/07/2018 17:44;Android;Buenos Aires F.D.;NA;male;13;17;12;11;0;1;6;1
2948;1;30e07d81;04/07/2018 2:09;Android;Buenos Aires;Lanus;female;18;20;3;3;0;1;4;1
2949;1;58c00bab;04/07/2018 21:28;Android;Mendoza;Mendoza;male;18;20;3;2;0;10;0;0
2950;1;de05417;07/07/2018 18:36;Android;Cordoba;Córdoba;male;18;20;3;6;0;2;4;1
2951;1;f625b170;04/07/2018 13:19;Android;Buenos Aires;Merlo;male;18;20;4;18;0;1;0;1
2952;1;f4a6dde1;30/06/2018 0:33;Android;Buenos Aires F.D.;Buenos Aires;male;13;17;5;6;0;2;5;1
2953;1;d9489722;06/07/2018 2:57;Android;Tucuman;San Miguel de Tucumán;female;18;20;5;4;0;1;0;0
2954;1;d3f57430;01/07/2018 20:01;Android;Buenos Aires;Villa Ballester;female;18;20;5;5;0;3;6;1
2955;1;a910b0fc;06/07/2018 21:28;Android;Buenos Aires;Pilar;female;13;17;14;17;0;1;6;0
2956;1;c5d58214;30/06/2018 16:16;Android;Salta;Salta;male;18;20;12;12;1;8;3;1
2957;1;294231b7;02/07/2018 1:03;Android;Neuquen;Neuquén;female;18;20;8;11;0;4;3;1
2958;1;662f2e91;02/07/2018 17:09;Android;Salta;Salta;male;18;20;1;1;0;1;2;1
2959;1;df255ecf;30/06/2018 20:06;Android;Buenos Aires;San Fernando;male;13;17;18;35;1;2;7;1
2960;1;af8ebe70;30/06/2018 18:53;Android;Cordoba;Córdoba;female;18;20;9;20;1;2;5;1
2961;1;5ca154aa;05/07/2018 12:03;Android;Buenos Aires;San Fernando;male;18;20;0;0;0;1;1;1
2962;1;c103db74;01/07/2018 4:12;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;2;2;0;1;2;1
2963;1;871c4437;30/06/2018 17:52;Android;Tucuman;San Miguel de Tucumán;female;18;20;6;9;0;2;7;1
2964;1;f130d47b;01/07/2018 16:31;Android;Buenos Aires;Paso del Rey;female;18;20;3;3;0;1;3;1
2965;1;50812db2;05/07/2018 21:48;Android;Cordoba;Villa María;male;13;17;7;7;1;4;4;0
2966;1;2828e31d;04/07/2018 3:06;Android;Buenos Aires;Isidro Casanova;female;18;20;36;37;0;19;5;0
2967;1;57a606bc;07/07/2018 23:43;Android;Rio Negro;Cipolletti;female;18;20;0;2;0;1;0;1
2968;1;45400644;03/07/2018 21:09;Android;Entre Rios;Villa Angelica;male;18;20;44;46;0;5;9;0
2969;1;df1828f8;04/07/2018 17:03;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;23;23;1;7;4;0
2970;1;39776217;07/07/2018 20:36;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;1;1;0;1;0;1
2971;1;d92918bf;03/07/2018 17:26;Android;Buenos Aires;Matheu;female;18;20;0;0;0;1;0;1
2972;1;6b0bbb6b;06/07/2018 20:19;Android;Tucuman;Aguilares;male;18;20;13;19;0;6;3;0
2973;1;e3e02275;01/07/2018 2:37;Android;Cordoba;Marcos Juarez;male;18;20;24;31;0;7;13;0
2974;1;1f5f033b;03/07/2018 7:26;Android;Buenos Aires;San Andres de Giles;female;13;17;115;116;1;14;23;1
2975;1;d5a95683;07/07/2018 17:27;Android;Tucuman;San Miguel de Tucumán;female;18;20;6;4;0;2;6;0
2976;1;aad62eeb;05/07/2018 8:44;Android;Misiones;Posadas;female;18;20;10;18;0;4;4;0
2977;1;72683bd4;04/07/2018 0:13;Android;Buenos Aires;Arrecifes;male;18;20;11;7;0;3;4;0
2978;1;ac916680;02/07/2018 2:09;Android;Buenos Aires F.D.;Buenos Aires;male;13;17;4;32;0;5;4;0
2979;1;53d1ac7b;30/06/2018 16:02;Android;Buenos Aires;Chacabuco;female;18;20;1;1;0;1;1;1
2980;1;557b2aae;30/06/2018 3:31;Android;Buenos Aires;Villa Ballester;male;18;20;3;6;0;2;3;1
2981;1;4153f0f6;06/07/2018 17:02;Android;Santa Fe;Hipatia;female;13;17;34;27;1;23;4;0
2982;1;ac854290;03/07/2018 12:06;Android;Buenos Aires;Lomas de Zamora;male;18;20;23;22;0;6;7;0
2983;1;36e17a53;30/06/2018 22:38;Android;Jujuy;San Salvador de Jujuy;female;13;17;5;8;0;3;3;1
2984;1;6072df93;30/06/2018 22:39;Android;Tucuman;San Miguel de Tucumán;male;18;20;1;0;0;1;2;1
2985;1;facb7b5f;03/07/2018 0:16;Android;Buenos Aires;Lomas de Zamora;male;13;17;5;7;0;2;2;1
2986;1;e8014cd3;30/06/2018 2:59;Android;Tierra del Fuego;Rio Grande;female;13;17;76;67;3;16;16;1
2987;1;7cf9d965;01/07/2018 14:58;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;4;7;0;3;4;0
2988;1;acd5dc5c;05/07/2018 19:08;Android;Buenos Aires;Isidro Casanova;female;13;17;82;82;1;12;24;0
2989;1;ceca1c3d;07/07/2018 20:16;Android;Chaco;Resistencia;female;13;17;2;4;0;1;3;1
2990;1;be3c64a1;02/07/2018 10:59;Android;Chubut;Comodoro Rivadavia;female;13;17;19;29;0;5;8;0
2991;1;45d58757;05/07/2018 22:16;Android;Cordoba;Rio Primero;female;18;20;21;21;2;8;2;1
2992;1;6a4a9679;01/07/2018 18:25;Android;Buenos Aires;Esteban Echeverria;male;18;20;3;3;0;1;4;1
2993;1;9b5213ba;01/07/2018 1:48;Android;Buenos Aires;Coronel Suárez;male;18;20;4;4;0;3;4;1
2994;1;2f98629;06/07/2018 20:25;Android;Buenos Aires;Laferrere;male;18;20;15;15;0;6;3;0
2995;1;8544e1a9;03/07/2018 4:42;Android;Buenos Aires;Mariano Moreno;male;18;20;25;0;2;7;6;0
2996;1;3dbc7147;07/07/2018 3:35;Android;Buenos Aires;San Miguel;male;13;17;14;38;2;11;2;0
2997;1;23aed166;30/06/2018 2:49;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;4;2;0;1;0;1
2998;1;f7e41daa;07/07/2018 16:44;Android;Buenos Aires;La Plata;male;18;20;1;4;0;0;0;0
2999;1;d8ccb0e9;01/07/2018 5:18;Android;Misiones;San Vicente;male;13;17;8;6;0;4;3;1
3000;1;a92c343e;05/07/2018 16:01;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;1;1;0;1;1;1
3001;1;e59f1b17;03/07/2018 1:57;Android;Entre Rios;Villa Angelica;female;18;20;6;6;0;2;0;0
3002;1;bc77e07c;04/07/2018 18:33;Android;La Rioja;La Rioja;unknown;18;20;6;6;0;4;2;0
3003;1;cfec904a;04/07/2018 23:43;Android;Cordoba;Córdoba;female;13;17;5;4;0;3;1;0
3004;1;51cc054d;03/07/2018 15:34;Android;Buenos Aires;Wilde;male;18;20;9;1;0;2;4;0
3005;1;b1a8dced;06/07/2018 4:34;iOS;La Pampa;Santa Rosa;male;18;20;38;36;2;4;10;0
3006;1;dc20250d;02/07/2018 0:32;Android;Rio Negro;General Roca;female;18;20;9;11;0;1;3;1
3007;1;b380674f;01/07/2018 13:53;Android;Jujuy;San Salvador de Jujuy;male;18;20;13;12;0;1;5;1
3008;1;fcf27fd9;30/06/2018 0:42;Android;La Rioja;La Rioja;male;18;20;48;51;2;7;15;1
3009;1;5264e533;06/07/2018 17:01;Android;Entre Rios;Villa Angelica;male;18;20;3;8;0;3;3;1
3010;1;b21eb18c;04/07/2018 15:07;Android;Entre Rios;Villa Angelica;male;13;17;3;3;0;1;3;1
3011;1;bfef7ad9;01/07/2018 17:42;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;6;1;0;5;5;0
3012;1;875fb04;05/07/2018 23:54;Android;Buenos Aires;Salto;female;18;20;8;8;0;5;1;1
3013;1;b76bcc72;04/07/2018 21:01;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;13;13;1;2;5;0
3014;1;a2408ae5;04/07/2018 2:29;Android;Buenos Aires;Lanus;female;18;20;10;10;0;5;3;0
3015;1;bbcf7d61;03/07/2018 0:40;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;64;59;1;13;3;0
3016;1;895ad809;01/07/2018 18:21;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;10;12;0;1;4;1
3017;1;a07451c3;05/07/2018 2:13;Android;Entre Rios;Paraná;female;13;17;3;22;0;3;4;1
3018;1;ca577cbc;07/07/2018 4:45;Android;Buenos Aires;San Andres de Giles;male;18;20;3;3;0;3;1;0
3019;1;8c2bd36e;07/07/2018 21:29;Android;Santa Cruz;Tres Lagos;female;18;20;11;11;0;2;5;1
3020;1;400ab3bb;04/07/2018 15:13;Android;Cordoba;Córdoba;male;13;17;25;47;2;13;6;0
3021;1;52720774;02/07/2018 22:40;Android;Buenos Aires F.D.;Buenos Aires;male;13;17;0;0;0;1;1;1
3022;1;64706bde;30/06/2018 20:40;Android;Entre Rios;General Ramirez;male;18;20;5;6;0;1;3;1
3023;1;34cf9a8c;07/07/2018 16:58;Android;Cordoba;Córdoba;male;18;20;7;6;1;5;1;0
3024;1;9291f273;05/07/2018 22:03;Android;Rio Negro;El Bolsón;female;18;20;10;10;0;4;1;0
3025;1;5c34f273;05/07/2018 3:42;Android;Buenos Aires;Ezpeleta;female;13;17;12;13;0;4;2;0
3026;1;5df29b0c;06/07/2018 15:36;Android;Buenos Aires F.D.;Buenos Aires;female;18;20;34;36;0;17;5;0
3027;1;747fbc7c;04/07/2018 16:35;Android;Buenos Aires;Rafael Castillo;male;18;20;35;39;2;1;10;0
3028;1;9cb346cc;04/07/2018 17:10;iOS;Santa Fe;NA;female;18;20;20;18;0;4;8;0
3029;1;a5cce0;06/07/2018 22:42;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;3;19;0;1;3;1
3030;1;d9981873;01/07/2018 22:38;Android;Buenos Aires;Burzaco;male;13;17;73;153;2;13;23;0
3031;1;34cf9a8c;07/07/2018 16:58;Android;La Rioja;La Rioja;male;18;20;16;14;0;3;4;0
3032;1;ae12689a;07/07/2018 23:34;Android;Buenos Aires;Quilmes;female;18;20;69;77;4;8;5;1
3033;1;9b8a14b7;30/06/2018 17:01;Android;Buenos Aires;San Miguel;male;18;20;7;8;0;5;1;1
3034;1;f29bb7c2;04/07/2018 23:02;Android;Buenos Aires;Tristan Suarez;male;13;17;0;0;0;1;0;1
3035;1;18fe692d;04/07/2018 16:59;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;25;10;1;13;3;0
3036;1;f18916ba;03/07/2018 19:44;Android;Buenos Aires;San Miguel;female;18;20;4;5;0;1;1;1
3037;1;cd3d8aed;30/06/2018 17:03;Android;Misiones;Posadas;female;18;20;18;18;1;10;4;1
3038;1;3321a566;05/07/2018 23:11;iOS;Buenos Aires F.D.;Nunez;unknown;13;17;39;82;2;9;6;0
3039;1;10953c75;03/07/2018 20:13;Android;Salta;Salta;female;13;17;45;94;0;21;9;1
3040;1;a4a045b6;02/07/2018 17:17;Android;Cordoba;Córdoba;male;18;20;13;13;1;1;4;1
3041;1;755f7a33;06/07/2018 19:48;Android;Tucuman;San Miguel de Tucumán;female;18;20;4;4;0;1;4;0
3042;1;32b96339;04/07/2018 19:41;Android;Tucuman;San Miguel de Tucumán;female;18;20;0;0;0;1;1;1
3043;1;aef235a8;02/07/2018 22:20;Android;Rio Negro;Villa Regina;female;18;20;33;33;2;2;4;0
3044;1;7fb42f2d;05/07/2018 22:36;Android;Santa Cruz;Puerto Deseado;female;18;20;17;15;0;8;5;0
3045;1;2074ea65;04/07/2018 22:38;Android;Buenos Aires;Lanus;male;13;17;2;4;0;1;2;1
3046;1;a1121c80;04/07/2018 19:08;Android;Buenos Aires;Isidro Casanova;male;18;20;1;1;0;1;1;1
3047;1;b7aa8471;04/07/2018 4:05;Android;Buenos Aires;San Andres de Giles;male;18;20;1;5;0;2;1;1
3048;1;f9adf048;05/07/2018 2:38;Android;Entre Rios;Villa Angelica;female;13;17;45;39;3;25;4;0
3049;1;5,74E+239;07/07/2018 4:04;Android;Buenos Aires F.D.;Villa del Parque;male;18;20;6;7;0;3;1;1
3050;1;377afe93;02/07/2018 13:39;Android;Tucuman;San Miguel de Tucumán;female;18;20;9;9;1;10;2;0
3051;1;84f1fab2;06/07/2018 18:32;Android;Misiones;Posadas;female;13;17;0;0;0;1;0;1
3052;1;b42bcb90;02/07/2018 18:46;Android;San Luis;San Luis;female;13;17;5;13;0;12;3;1
3053;1;80bbb643;30/06/2018 20:55;Android;San Juan;San Juan;female;18;20;30;26;1;21;8;1
3054;1;39b38044;01/07/2018 2:27;Android;Cordoba;Córdoba;male;13;17;1;1;0;1;1;1
3055;1;c8faafa;03/07/2018 20:16;Android;Buenos Aires;Isidro Casanova;female;18;20;3;0;0;2;3;1
3056;1;9df460b6;04/07/2018 19:41;Android;Buenos Aires;Villa Ballester;female;18;20;1;0;0;1;0;0
3057;1;ed2c1452;02/07/2018 20:45;Android;Santiago del Estero;Santiago del Estero;male;18;20;70;71;1;25;12;0
3058;1;683e7e4c;02/07/2018 10:09;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;12;12;0;7;4;0
3059;1;d25c981d;01/07/2018 13:02;Android;Buenos Aires;Pergamino;male;13;17;0;0;0;2;1;1
3060;1;deec505e;06/07/2018 2:43;iOS;Catamarca;San Fernando del Valle de Catamarca;female;18;20;4;3;0;2;1;0
3061;1;b8fafd6b;07/07/2018 0:25;Android;Santa Fe;Santa Fe;female;13;17;16;20;1;8;6;0
3062;1;33187f9a;07/07/2018 16:02;iOS;Buenos Aires;Mariano Moreno;female;18;20;6;10;0;5;5;0
3063;1;87b2fae2;01/07/2018 15:14;Android;Buenos Aires F.D.;Buenos Aires;female;13;17;6;7;1;3;2;0
3064;1;a17762e1;02/07/2018 1:27;Android;Buenos Aires;Olivos;female;18;20;7;7;0;1;3;1
3065;1;9c324b88;07/07/2018 17:34;Android;Chaco;Resistencia;female;18;20;2;2;0;2;2;1
3066;1;e260b0fb;05/07/2018 10:28;Android;Entre Rios;Villa Angelica;male;13;17;4;2;0;2;4;0
3067;1;6e2d905d;06/07/2018 16:28;Android;Buenos Aires;Merlo;male;18;20;2;8;0;1;3;1
3068;1;86c582bd;05/07/2018 21:14;Android;Corrientes;Santo Tome;male;18;20;14;12;1;7;2;0
3069;1;f1f72979;07/07/2018 3:12;Android;Buenos Aires;San Isidro;female;18;20;3;3;0;4;1;1
3070;1;2a13eaf;04/07/2018 1:03;Android;Buenos Aires;Libertad;male;18;20;1;1;0;1;1;1
3071;1;19dabe30;04/07/2018 23:03;Android;Cordoba;Córdoba;male;18;20;9;12;1;1;4;1
3072;1;31496d9a;02/07/2018 13:19;Android;Buenos Aires;Haedo;male;13;17;3;3;0;1;3;0
3073;1;cd616d5f;06/07/2018 0:43;Android;Buenos Aires;Avellaneda;male;18;20;18;28;2;7;5;1
3074;1;1b160dda;02/07/2018 3:37;Android;Corrientes;Curuzu Cuatia;male;13;17;1;2;0;1;1;1
3075;1;20173a87;30/06/2018 5:36;Android;Formosa;Formosa;male;18;20;21;21;1;8;4;1
3076;1;60e9d4bc;03/07/2018 12:37;Android;Misiones;Obera;male;13;17;3;2;0;3;1;0
3077;1;35d7b5af;07/07/2018 2:18;Android;Santa Fe;NA;female;18;20;16;21;2;5;4;0
3078;1;80d53c7;07/07/2018 16:58;Android;Tucuman;San Miguel de Tucumán;male;13;17;1;4;0;1;1;1
3079;1;b0ccf697;05/07/2018 0:52;Android;Cordoba;Córdoba;female;18;20;19;39;2;6;2;0
3080;1;16efcb2a;04/07/2018 12:47;Android;Salta;Salta;male;18;20;4;4;0;1;4;1
3081;1;adc6e3f6;03/07/2018 17:23;Android;Jujuy;San Salvador de Jujuy;male;18;20;1;1;0;0;1;1
3082;1;b23fe025;01/07/2018 2:45;Android;NA;NA;female;13;17;0;4;0;1;0;1
3083;1;e97eb23b;03/07/2018 18:58;Android;Buenos Aires;Paso del Rey;female;13;17;12;17;0;8;7;0
3084;1;f6bad066;05/07/2018 19:44;Android;Buenos Aires;San Miguel;female;13;17;6;5;0;5;7;0
3085;1;8a7601e4;07/07/2018 19:31;Android;Entre Rios;General Ramirez;female;18;20;4;4;0;2;2;0
3086;1;5922d9ce;02/07/2018 5:39;Android;Santa Fe;Santa Fe;female;18;20;111;116;3;12;26;0
3087;1;f20dd12b;03/07/2018 18:11;Android;Buenos Aires;Ituzaingo;female;18;20;2;2;0;1;2;1
3088;1;2eb67afa;06/07/2018 0:11;Android;Entre Rios;Villa Angelica;female;18;20;38;48;3;13;9;0
3089;1;550ea6a3;30/06/2018 14:45;Android;Entre Rios;Villa Maria Grande;female;18;20;8;12;0;1;3;1
3090;1;22216116;02/07/2018 23:47;Android;Buenos Aires;Lomas de Zamora;male;18;20;1;1;0;1;1;1
3091;1;90c28a6b;07/07/2018 13:18;Android;Buenos Aires F.D.;Buenos Aires;male;18;20;61;61;2;9;18;0
3092;1;2d90d329;05/07/2018 5:45;Android;Santa Fe;Rosario;female;18;20;90;95;4;6;18;0
3093;1;d3472431;04/07/2018 23:17;iOS;Buenos Aires;Ramos Mejia;female;18;20;10;19;1;5;5;0
3094;1;abc93f31;07/07/2018 20:07;Android;Buenos Aires;Burzaco;female;18;20;3;3;0;1;3;1
3095;1;b9b245b7;05/07/2018 17:57;Android;Chaco;Resistencia;female;18;20;18;28;0;6;6;0
3096;1;71ba8ac9;04/07/2018 3:17;Android;Buenos Aires;Hurlingham;male;18;20;16;22;1;9;3;0
3097;1;68dada03;03/07/2018 23:43;Android;Buenos Aires;Quilmes;male;13;17;3;7;0;1;3;1
3098;1;b821b7f5;30/06/2018 22:00;Android;Corrientes;Corrientes;male;13;17;6;13;0;4;7;1
3099;1;ab309eec;02/07/2018 23:22;Android;Misiones;Obera;female;13;17;25;22;0;7;10;0
3100;1;7,08E+13;06/07/2018 3:32;Android;Buenos Aires;Lomas del Mirador;female;18;20;0;0;0;1;0;0
3101;1;543495f6;07/07/2018 19:15;Android;Entre Rios;Villa Angelica;male;18;20;4;5;0;2;4;1
3102;1;b157d3e7;05/07/2018 17:14;Android;Buenos Aires;Don Torcuato;male;13;17;12;12;1;4;3;0
3103;1;7bd73097;02/07/2018 3:17;Android;Corrientes;Corrientes;male;18;20;2;5;0;5;2;0
3104;1;6e69fb5;03/07/2018 15:23;Android;Buenos Aires;Punta Alta;female;18;20;20;25;3;13;4;0
3105;1;a73260e9;01/07/2018 20:21;Android;Corrientes;Corrientes;female;18;20;4;1;0;1;3;1
3106;1;21cc6d3c;05/07/2018 5:55;Android;Buenos Aires;Turdera;male;13;17;8;19;0;4;2;1
3107;1;1bacd385;05/07/2018 22:50;Android;Misiones;Posadas;male;18;20;0;1;0;3;0;0
3108;1;1cc0c85a;01/07/2018 19:39;Android;Buenos Aires;Gonzalez Catan;male;18;20;1;1;0;1;1;1
3109;1;87c7106b;02/07/2018 1:29;Android;Cordoba;Córdoba;female;13;17;5;3;0;2;4;0
3110;1;4e2d00ae;04/07/2018 19:33;Android;Entre Rios;Paraná;male;13;17;14;34;0;2;3;1
3111;1;9d6392;01/07/2018 8:02;Android;Buenos Aires;Lomas de Zamora;female;18;20;21;47;0;5;8;0
3112;1;b57f02af;07/07/2018 12:03;Android;Buenos Aires;NA;male;18;20;21;21;2;5;9;0
3113;1;be1dbd9c;30/06/2018 16:56;Android;Santa Fe;Rosario;female;18;20;3;5;0;1;2;1
3114;1;4ea16d61;03/07/2018 12:47;Android;Buenos Aires;Burzaco;female;18;20;27;27;3;8;6;0
